NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Health & Wellness Medical S..,+(91)2229200200,4.2,296,"Shop No 1, Acropolis Complex, Marol Military Road, Andheri East, Mumbai - 400059, Near Tanvi Super Market",Mumbai,Pharmacy
Lucky Medical Store,+(91)02228374530,4.1,290,"5/2, Green Land Apartment, Shree Niwas Bagarka Road, Jb Nagar-Andheri East, Mumbai - 400059, Opposite Bagardha College",Mumbai,Pharmacy
Royal Chemist,+(91)2512436472,4.1,287,"Vaibhav Building, Manpada Road, Dombivli East, Thane - 421201, Opposite Kasturi Plaza",Mumbai,Pharmacy
Adie Pharmacy,+(91)02224144822,4.2,284,"Shop No.C/12, Harganga Mahal, Dr Ambedkar Road, Dadar East, Mumbai - 400014, Near Dadar T T Circle, Near D Damodar Mitthaiwala",Mumbai,Pharmacy
Modern Stores,+(91)02226400590,4.0,282,"Shop No 11, Dhiraj Arcade, Pali Naka Road, Bandra West, Mumbai - 400050, Opposite Camy Wafers",Mumbai,Pharmacy
Gohil Brothers,+(91)2226140651,4.4,272,"Sethia Niwas, M G Road, Vile Parle East, Mumbai - 400057, Near Ram Mandir Road",Mumbai,Pharmacy
Noble Medicals,+(91)2223511225,4.0,270,"26 A, Agarwal Bhawan, Bhulabhai Desai Road, Pedder Road, Mahalaxmi, Mumbai - 400011, Behind Mahalaxmi Mandir, Opposite Tirupati Apartment",Mumbai,Pharmacy
Wellness Forever,+(91)2228132389,4.0,269,"Shop No 15,16,17 B Goyal Plaza, Ground Floor, Mira Road, Thane - 401107, Opposite Shivar Garden, Off Mira Bhayander Road",Mumbai,Pharmacy
Kailash Medical,+(91)02228807213,4.3,265,"Shop No 10,Shivam Building,, Subhash Road, Malad East, Mumbai - 400097, Opposite HDFC Bank",Mumbai,Pharmacy
Noble Chemist,+(91)02224171111,4.0,259,"Shop No. G 1, Plot No. 591, Amrutdhara Co-Operative Housing Society Ltd, Jame Jamshed Road, Matunga East, Mumbai - 400019, Near Kapol Niwas",Mumbai,Pharmacy
Shree Damodar Medical & Gen..,+(91)02228989230,4.3,255,"Shop No 8/9,Atul Apartment, L T Road,Vaziranaka, Borivali West, Mumbai - 400091, Opposite Punjab & Sind Bank",Mumbai,Pharmacy
Mohan Medicare,+(91)02226399890,4.0,246,"Shop No 1, Pearl Palace Building, J P Road, Andheri West, Mumbai - 400061, 7 Bunglows, Opposite Shiv Mandir",Mumbai,Pharmacy
Noble Medicals,+(91)02225010524,3.9,245,"Shop No 2/3, Shankar Chaya, M G Road, Ghatkopar East, Mumbai - 400077, Opposite Reliance Gallery, Sindhuwadi",Mumbai,Pharmacy
National Chemist,+(91)02224440079,4.1,243,"206, Gala No 4/5/6, Citizen Society, S V S Road, Cadel Road, Mahim, Mumbai - 400016, Next to Hinduja Hospital",Mumbai,Pharmacy
Obaid Medical & General Sto..,+(91)2226769507,4.1,241,"Shop No 6, R B Sharma Centre, S V Road, Jogeshwari West, Mumbai - 400102, Below Malika Hospital",Mumbai,Pharmacy
Wellness Forever,+(91)02226773664,3.8,240,"Shop No 8, Ground Floor, EE Heights, CTS No 70/A, S V Road, Jogeshwari West, Mumbai - 400102",Mumbai,Pharmacy
Hari Om Medical & General S..,+(91)02226488787,4.2,237,"Shop No 7, Tagore Kunj Building, Tagore Road, Santacruz West, Mumbai - 400054, Near Junction Of Tagore & Saraswati Road, Near Podar School",Mumbai,Pharmacy
Life Panacea Chemist & Drug..,+(91)2221639383,4.1,238,"Shop No 2 , 3 ,4 & 5, Gayatri Pole Cooperative Housing Society, L T Road, Mulund East, Mumbai - 400081, Near Hanuman Chowk",Mumbai,Pharmacy
Royal Chemist,+(91)02224135028,4.1,234,"Shop No 3, Vishwas Niwas,Building No 8, Acharya Donge Marg, Parel, Mumbai - 400012, Opposite Wadia Childrens Hospital",Mumbai,Pharmacy
Tulsi Medical & General Sto..,+(91)2225273091,4.2,230,"2/204, Sukh Sagar Building, D K Sandu Marg, Chembur East, Mumbai - 400071, Near Post Office",Mumbai,Pharmacy
Apollo Pharmacy,+(91)2228464323,3.9,229,"Shop No. 43, Krishna Building, Vasant Sagar Complex, Thakur Village-kandivali East, Mumbai - 400101, Near Bank Of Baroda, Thakur Village",Mumbai,Pharmacy
Shree Mangesh Medical Store..,+(91)2228074404,4.1,226,"Shop No- 6,Kanti Terrace, S V Road, Kandivali West, Mumbai - 400067, Near Mangesh Collection,Near Shiv Mandir",Mumbai,Pharmacy
Take Care Medico,+(91)2223639341,4.1,219,"Shop No 8, Matru Ashish, Nepeansea Road, Kemps Corner, Mumbai - 400006, Near Priyadarshani Garden",Mumbai,Pharmacy
Worli Medical Chemist,+(91)2224946837,4.4,218,"Shop No 6, Hargun House, Dr Annie Besant Road, Worli, Mumbai - 400018, Opposite Buddha Temple",Mumbai,Pharmacy
Sterling Chemist,+(91)02223519678,4.1,216,"Shop No. 5, Building No. 14 G, Doctor House, Peddar Road, Gopalrao Deshmukh Marg, Pedder Road, Mumbai - 400026, Opposite Jaslok Hospital",Mumbai,Pharmacy
Mohan Medico,+(91)2226300830,3.9,214,"Shop No 4, Gayatri Building, J P Road, Andheri West, Mumbai - 400053, Near Versova Metro Station",Mumbai,Pharmacy
Dhanvantri Medical & Genera..,+(91)2226006805,4.2,213,"2/3, Parvati Sadan, 14th A Road Ahimsa Marg, Khar West, Mumbai - 400052, Opposite Mahavir Hospital",Mumbai,Pharmacy
Leelavati Medical & Pharma ..,+(91)02226418726,4.0,213,"Shop No 5, Rizvi Chambers No 13, Hill Road, Bandra West, Mumbai - 400050, Opp S D Shah Shop",Mumbai,Pharmacy
Dhuri Medical & General Sto..,+(91)02502334939,4.2,212,"Dhuri Chamber, Station Road, Vasai West, Palghar - 401202, Near Railway Station",Mumbai,Pharmacy
